ID;Couplings ;Precedes;Importance;Dependency;Implementation Cost;Cost Overrun Probability
Format-1;;Format-5,Format-2,Format-3,Format-4;0.75;4;34.0;0.5175
Tools-6;;Tools-1,Tools-2,Tools-3,Tools-4,Tools-5;0.3125;5;14.0;0.5118
Edit-3;Edit-5,Edit-4;;0.7124999999999999;2;34.0;0.52
View-5;Insert-1;View-3,View-2;0.6125;3;24.0;0.5087
File-7;;File-10,File-12;0.2875;2;14.0;0.5082
Insert-2;;Insert-5,Insert-4;0.6499999999999999;2;29.0;0.5147
Edit-8;;Edit-9;0.6375;1;31.0;0.5099
Tools-1;;Tools-2;0.75;1;37.0;0.5238
File-9;;File-12;0.8875;1;44.0;0.5121
File-2;File-4;File-3,File-6,File-7,File-8,File-9,File-10,File-11,Edit-1,Edit-2,View-2,View-3,View-4,View-5,Insert-1,Insert-2,Insert-3;0.8875;17;44.0;0.5157
Data-2;Data-1;;0.625;1;31.0;0.5102
File-3;;File-12;0.6875;1;36.0;0.5141
Insert-1;;Insert-4,Insert-5;0.575;2;23.0;0.5134
File-6;;File-12;0.4875;1;26.0;0.5116
Format-3;;Format-5;0.6625000000000001;1;29.0;0.5124
File-5;File-4;File-12;0.3125;2;16.0;0.5141
Data-1;Data-3;;0.6;1;30.0;0.512
View-2;;File-9;0.55;1;25.0;0.5125
Edit-4;;;0.7124999999999999;0;34.0;0.5128
Tools-2;;Tools-3;0.5125;1;28.0;0.5159
File-1;;File-4,File-5,File-6,File-7,File-8,File-9,File-10,File-11,View-2,View-3,View-4,View-5,Tools-1,Tools-2,File-12;0.8875;15;44.0;0.5076
Format-2;;Format-5;0.625;1;26.0;0.5131
Help-1;Help-2;;0.55;1;22.0;0.517
File-10;;File-12;0.5125;1;27.0;0.5085
Data-3;;;0.625;0;31.0;0.5229
Edit-10;;;0.5874999999999999;0;29.0;0.5164
Edit-1;;Edit-2;0.6875;1;33.0;0.5181
Insert-3;;;0.575;0;24.0;0.5142
Edit-9;;;0.6375;0;31.0;0.5155
Insert-5;;;0.5;0;24.0;0.51
Edit-5;;;0.6625000000000001;0;30.0;0.5165
Data-4;;;0.475;0;27.0;0.5062
File-8;;File-9;0.7625;1;38.0;0.5044
Format-4;;Format-5;0.3125;1;14.0;0.5176
View-1;;;0.44999999999999996;0;21.0;0.5137
Help-2;;;0.5249999999999999;0;20.0;0.5045
File-11;;File-12;0.275;1;12.0;0.5049
Data-5;;;0.4625;0;22.0;0.5058
File-4;;File-12;0.8875;1;44.0;0.5098
View-4;;;0.225;0;11.0;0.516
Edit-7;;Edit-5;0.25;1;13.0;0.5078
Tools-4;;;0.38749999999999996;0;20.0;0.5191
Edit-2;;;0.5125;0;27.0;0.5164
Insert-4;;;0.35;0;17.0;0.5197
File-12;;;0.7124999999999999;0;36.0;0.5182
Edit-6;;;0.30000000000000004;0;14.0;0.5092
View-3;;;0.225;0;11.0;0.5117
Tools-5;;;0.2375;0;15.0;0.5135
Tools-3;;;0.1375;0;7.0;0.518
Format-5;;;0.1375;0;6.0;0.5089
